,store_nbr,family,perishable,unit_sales
0,1,AUTOMOTIVE,0,5475.0
1,1,BEAUTY,0,4056.0
2,1,BEVERAGES,0,2673769.0
3,1,BOOKS,0,210.0
4,1,BREAD/BAKERY,1,569992.2080000001
5,1,CELEBRATION,0,16786.0
6,1,CLEANING,0,1078525.0
7,1,DAIRY,1,1054354.0
8,1,DELI,1,207037.07809999984
9,1,EGGS,1,236506.0
10,1,FROZEN FOODS,0,217926.38399999996
11,1,GROCERY I,0,3743823.0
12,1,GROCERY II,0,36783.0
13,1,HARDWARE,0,2694.0
14,1,HOME AND KITCHEN I,0,25006.0
15,1,HOME AND KITCHEN II,0,21796.0
16,1,HOME APPLIANCES,0,569.0
17,1,HOME CARE,0,170062.0
18,1,LADIESWEAR,0,15835.0
19,1,LAWN AND GARDEN,0,15169.0
20,1,LINGERIE,0,11314.0
21,1,"LIQUOR,WINE,BEER",0,170111.0
22,1,MAGAZINES,0,5399.0
23,1,MEATS,1,527608.2889000045
24,1,PERSONAL CARE,0,217534.0
25,1,PET SUPPLIES,0,5850.0
26,1,PLAYERS AND ELECTRONICS,0,8913.0
27,1,POULTRY,1,478621.3720999986
28,1,PREPARED FOODS,1,135979.561
29,1,PRODUCE,1,2443329.9674000056
30,1,SCHOOL AND OFFICE SUPPLIES,0,289.0
31,1,SEAFOOD,1,43689.00959999998
32,2,AUTOMOTIVE,0,9100.0
33,2,BABY CARE,0,84.0
34,2,BEAUTY,0,7936.0
35,2,BEVERAGES,0,4153912.0
36,2,BOOKS,0,239.0
37,2,BREAD/BAKERY,1,924272.787
38,2,CELEBRATION,0,13384.0
39,2,CLEANING,0,1625869.0
40,2,DAIRY,1,1436860.0
41,2,DELI,1,411485.0905000006
42,2,EGGS,1,314736.0
43,2,FROZEN FOODS,0,270649.1370000003
44,2,GROCERY I,0,6590998.797
45,2,GROCERY II,0,52685.0
46,2,HARDWARE,0,1972.0
47,2,HOME AND KITCHEN I,0,29649.0
48,2,HOME AND KITCHEN II,0,24264.0
49,2,HOME APPLIANCES,0,803.0
50,2,HOME CARE,0,298056.0
51,2,LADIESWEAR,0,29539.0
52,2,LAWN AND GARDEN,0,13863.0
53,2,LINGERIE,0,15699.0
54,2,"LIQUOR,WINE,BEER",0,145672.0
55,2,MAGAZINES,0,6459.0
56,2,MEATS,1,849915.7762999978
57,2,PERSONAL CARE,0,441338.0
58,2,PET SUPPLIES,0,9140.0
59,2,PLAYERS AND ELECTRONICS,0,9603.0
60,2,POULTRY,1,819440.4481000152
61,2,PREPARED FOODS,1,210382.4810000003
62,2,PRODUCE,1,2781594.1711999862
63,2,SCHOOL AND OFFICE SUPPLIES,0,770.0
64,2,SEAFOOD,1,54246.95599999999
65,3,AUTOMOTIVE,0,15647.0
66,3,BABY CARE,0,672.0
67,3,BEAUTY,0,16189.0
68,3,BEVERAGES,0,11351589.0
69,3,BOOKS,0,539.0
70,3,BREAD/BAKERY,1,1937379.331
71,3,CELEBRATION,0,48450.0
72,3,CLEANING,0,3474432.0
73,3,DAIRY,1,3436852.0
74,3,DELI,1,664670.0258000001
75,3,EGGS,1,879981.0
76,3,FROZEN FOODS,0,756579.343999999
77,3,GROCERY I,0,12970467.970999999
78,3,GROCERY II,0,130132.0
79,3,HARDWARE,0,5051.0
80,3,HOME AND KITCHEN I,0,73617.0
81,3,HOME AND KITCHEN II,0,58808.0
82,3,HOME APPLIANCES,0,3162.0
83,3,HOME CARE,0,546284.0
84,3,LADIESWEAR,0,51998.0
85,3,LAWN AND GARDEN,0,41315.0
86,3,LINGERIE,0,46351.0
87,3,"LIQUOR,WINE,BEER",0,369712.0
88,3,MAGAZINES,0,20476.0
89,3,MEATS,1,1366488.6398999977
90,3,PERSONAL CARE,0,847967.0
91,3,PET SUPPLIES,0,19678.0
92,3,PLAYERS AND ELECTRONICS,0,29765.0
93,3,POULTRY,1,1905238.516800001
94,3,PREPARED FOODS,1,618877.9630000009
95,3,PRODUCE,1,8613316.112400174
96,3,SCHOOL AND OFFICE SUPPLIES,0,1264.0
97,3,SEAFOOD,1,178950.28119999965
98,4,AUTOMOTIVE,0,6767.0
99,4,BABY CARE,0,24.0
100,4,BEAUTY,0,6889.0
101,4,BEVERAGES,0,3668136.0
102,4,BOOKS,0,265.0
103,4,BREAD/BAKERY,1,682881.9720000001
104,4,CELEBRATION,0,10749.0
105,4,CLEANING,0,1489848.0
106,4,DAIRY,1,1329186.0
107,4,DELI,1,363776.75860000023
108,4,EGGS,1,289756.0
109,4,FROZEN FOODS,0,253684.57499999975
110,4,GROCERY I,0,5636343.59
111,4,GROCERY II,0,35040.0
112,4,HARDWARE,0,1914.0
113,4,HOME AND KITCHEN I,0,23280.0
114,4,HOME AND KITCHEN II,0,14916.0
115,4,HOME APPLIANCES,0,657.0
116,4,HOME CARE,0,258924.0
117,4,LADIESWEAR,0,25589.0
118,4,LAWN AND GARDEN,0,15768.0
119,4,LINGERIE,0,7753.0
120,4,"LIQUOR,WINE,BEER",0,140016.0
121,4,MAGAZINES,0,5879.0
122,4,MEATS,1,622470.3709000007
123,4,PERSONAL CARE,0,383983.0
124,4,PET SUPPLIES,0,7147.0
125,4,PLAYERS AND ELECTRONICS,0,9098.0
126,4,POULTRY,1,756021.5728999919
127,4,PREPARED FOODS,1,167925.25900000037
128,4,PRODUCE,1,2639588.2060999875
129,4,SCHOOL AND OFFICE SUPPLIES,0,350.0
130,4,SEAFOOD,1,55071.07570000003
131,5,AUTOMOTIVE,0,9194.0
132,5,BABY CARE,0,215.0
133,5,BEAUTY,0,8684.0
134,5,BEVERAGES,0,2533831.0
135,5,BOOKS,0,230.0
136,5,BREAD/BAKERY,1,642854.5560000001
137,5,CELEBRATION,0,26176.0
138,5,CLEANING,0,1667748.0
139,5,DAIRY,1,871283.0
140,5,DELI,1,415271.00149999984
141,5,EGGS,1,190851.0
142,5,FROZEN FOODS,0,269669.1959999998
143,5,GROCERY I,0,5262681.658000002
144,5,GROCERY II,0,33241.0
145,5,HARDWARE,0,1725.0
146,5,HOME AND KITCHEN I,0,30107.0
147,5,HOME AND KITCHEN II,0,37238.0
148,5,HOME APPLIANCES,0,926.0
149,5,HOME CARE,0,239283.0
150,5,LADIESWEAR,0,14813.0
151,5,LAWN AND GARDEN,0,4970.0
152,5,LINGERIE,0,31561.0
153,5,"LIQUOR,WINE,BEER",0,110414.0
154,5,MAGAZINES,0,6569.0
155,5,MEATS,1,477104.40820000117
156,5,PERSONAL CARE,0,450166.0
157,5,PET SUPPLIES,0,3199.0
158,5,PLAYERS AND ELECTRONICS,0,8024.0
159,5,POULTRY,1,419630.37059999537
160,5,PREPARED FOODS,1,147991.1289999999
161,5,PRODUCE,1,1653582.2593000059
162,5,SCHOOL AND OFFICE SUPPLIES,0,813.0
163,5,SEAFOOD,1,22358.993999999995
164,6,AUTOMOTIVE,0,9028.0
165,6,BABY CARE,0,12.0
166,6,BEAUTY,0,9539.0
167,6,BEVERAGES,0,5063106.0
168,6,BOOKS,0,76.0
169,6,BREAD/BAKERY,1,919102.7590000001
170,6,CELEBRATION,0,15753.0
171,6,CLEANING,0,2081127.0
172,6,DAIRY,1,1612034.0
173,6,DELI,1,575360.3447999993
174,6,EGGS,1,345028.0
175,6,FROZEN FOODS,0,378637.46
176,6,GROCERY I,0,7806646.169
177,6,GROCERY II,0,59272.0
178,6,HARDWARE,0,1569.0
179,6,HOME AND KITCHEN I,0,29331.0
180,6,HOME AND KITCHEN II,0,49457.0
181,6,HOME APPLIANCES,0,658.0
182,6,HOME CARE,0,340331.0
183,6,LADIESWEAR,0,32455.0
184,6,LAWN AND GARDEN,0,13111.0
185,6,LINGERIE,0,13717.0
186,6,"LIQUOR,WINE,BEER",0,157243.0
187,6,MAGAZINES,0,6161.0
188,6,MEATS,1,834126.3043000016
189,6,PERSONAL CARE,0,541193.0
190,6,PET SUPPLIES,0,9950.0
191,6,PLAYERS AND ELECTRONICS,0,13085.0
192,6,POULTRY,1,1062759.7212
193,6,PREPARED FOODS,1,236798.18400000042
194,6,PRODUCE,1,2893383.699899997
195,6,SCHOOL AND OFFICE SUPPLIES,0,446.0
196,6,SEAFOOD,1,73180.3548000001
197,7,AUTOMOTIVE,0,7150.0
198,7,BABY CARE,0,48.0
199,7,BEAUTY,0,6142.0
200,7,BEVERAGES,0,5592609.0
201,7,BOOKS,0,211.0
202,7,BREAD/BAKERY,1,1082197.8930000002
203,7,CELEBRATION,0,18965.0
204,7,CLEANING,0,1770749.0
205,7,DAIRY,1,2063308.0
206,7,DELI,1,284606.8471
207,7,EGGS,1,479780.0
208,7,FROZEN FOODS,0,433886.26399999956
209,7,GROCERY I,0,6247973.996
210,7,GROCERY II,0,67416.0
211,7,HARDWARE,0,3448.0
212,7,HOME AND KITCHEN I,0,24376.0
213,7,HOME AND KITCHEN II,0,23364.0
214,7,HOME APPLIANCES,0,1304.0
215,7,HOME CARE,0,253302.0
216,7,LADIESWEAR,0,12253.0
217,7,LAWN AND GARDEN,0,32049.0
218,7,LINGERIE,0,14995.0
219,7,"LIQUOR,WINE,BEER",0,268323.0
220,7,MAGAZINES,0,11172.0
221,7,MEATS,1,880013.6591999991
222,7,PERSONAL CARE,0,359193.0
223,7,PET SUPPLIES,0,6481.0
224,7,PLAYERS AND ELECTRONICS,0,11637.0
225,7,POULTRY,1,1018633.7024000012
226,7,PREPARED FOODS,1,302128.2309999996
227,7,PRODUCE,1,5576828.199999993
228,7,SCHOOL AND OFFICE SUPPLIES,0,536.0
229,7,SEAFOOD,1,96940.78880000005
230,8,AUTOMOTIVE,0,8890.0
231,8,BABY CARE,0,142.0
232,8,BEAUTY,0,12104.0
233,8,BEVERAGES,0,6347150.0
234,8,BOOKS,0,317.0
235,8,BREAD/BAKERY,1,1267688.0209999997
236,8,CELEBRATION,0,24976.0
237,8,CLEANING,0,2124056.0
238,8,DAIRY,1,2373813.0
239,8,DELI,1,469050.83979999926
240,8,EGGS,1,550746.0
241,8,FROZEN FOODS,0,400075.5580000008
242,8,GROCERY I,0,7909966.0
243,8,GROCERY II,0,69843.0
244,8,HARDWARE,0,4021.0
245,8,HOME AND KITCHEN I,0,50048.0
246,8,HOME AND KITCHEN II,0,43272.0
247,8,HOME APPLIANCES,0,1964.0
248,8,HOME CARE,0,391945.0
249,8,LADIESWEAR,0,41790.0
250,8,LAWN AND GARDEN,0,28318.0
251,8,LINGERIE,0,37693.0
252,8,"LIQUOR,WINE,BEER",0,248567.0
253,8,MAGAZINES,0,13869.0
254,8,MEATS,1,874542.7267000051
255,8,PERSONAL CARE,0,548573.0
256,8,PET SUPPLIES,0,17100.0
257,8,PLAYERS AND ELECTRONICS,0,18958.0
258,8,POULTRY,1,1008141.2358000011
259,8,PREPARED FOODS,1,356927.94400000037
260,8,PRODUCE,1,5152226.412500083
261,8,SCHOOL AND OFFICE SUPPLIES,0,710.0
262,8,SEAFOOD,1,93852.18949999979
263,9,AUTOMOTIVE,0,23358.0
264,9,BABY CARE,0,336.0
265,9,BEAUTY,0,9283.0
266,9,BEVERAGES,0,4617396.0
267,9,BREAD/BAKERY,1,955840.0
268,9,CELEBRATION,0,16216.0
269,9,CLEANING,0,2899366.0
270,9,DAIRY,1,1255925.0
271,9,DELI,1,984503.5580999986
272,9,EGGS,1,324444.0
273,9,FROZEN FOODS,0,210015.1440000001
274,9,GROCERY I,0,10353098.95900001
275,9,GROCERY II,0,19314.0
276,9,HARDWARE,0,3176.0
277,9,HOME AND KITCHEN I,0,55886.0
278,9,HOME AND KITCHEN II,0,32997.0
279,9,HOME APPLIANCES,0,662.0
280,9,HOME CARE,0,486379.0
281,9,LADIESWEAR,0,15958.0
282,9,LAWN AND GARDEN,0,7088.0
283,9,LINGERIE,0,15245.0
284,9,"LIQUOR,WINE,BEER",0,86553.0
285,9,MAGAZINES,0,2789.0
286,9,MEATS,1,634771.0854999974
287,9,PERSONAL CARE,0,746631.0
288,9,PET SUPPLIES,0,5696.0
289,9,PLAYERS AND ELECTRONICS,0,11495.0
290,9,POULTRY,1,814854.575000009
291,9,PREPARED FOODS,1,149475.92899999945
292,9,PRODUCE,1,1632022.4936000071
293,9,SCHOOL AND OFFICE SUPPLIES,0,10190.0
294,9,SEAFOOD,1,28433.32019999999
295,10,AUTOMOTIVE,0,5192.0
296,10,BABY CARE,0,461.0
297,10,BEAUTY,0,2312.0
298,10,BEVERAGES,0,1507341.0
299,10,BREAD/BAKERY,1,191421.0
300,10,CELEBRATION,0,4414.0
301,10,CLEANING,0,1309830.0
302,10,DAIRY,1,422559.0
303,10,DELI,1,419611.0
304,10,EGGS,1,82266.0
305,10,FROZEN FOODS,0,73258.16699999994
306,10,GROCERY I,0,4126220.1740000006
307,10,GROCERY II,0,6230.0
308,10,HARDWARE,0,1151.0
309,10,HOME AND KITCHEN I,0,12437.0
310,10,HOME AND KITCHEN II,0,9087.0
311,10,HOME APPLIANCES,0,304.0
312,10,HOME CARE,0,201545.0
313,10,LADIESWEAR,0,5490.0
314,10,LAWN AND GARDEN,0,26.0
315,10,LINGERIE,0,5453.0
316,10,"LIQUOR,WINE,BEER",0,20491.0
317,10,MAGAZINES,0,417.0
318,10,MEATS,1,314670.52479999815
319,10,PERSONAL CARE,0,300783.0
320,10,PET SUPPLIES,0,557.0
321,10,PLAYERS AND ELECTRONICS,0,3905.0
322,10,POULTRY,1,294951.9879999994
323,10,PREPARED FOODS,1,35080.0
324,10,PRODUCE,1,250738.8819999987
325,10,SCHOOL AND OFFICE SUPPLIES,0,858.0
326,10,SEAFOOD,1,4845.0
327,11,AUTOMOTIVE,0,11266.0
328,11,BABY CARE,0,318.0
329,11,BEAUTY,0,8009.0
330,11,BEVERAGES,0,6139303.0
331,11,BREAD/BAKERY,1,1020894.0
332,11,CELEBRATION,0,17073.0
333,11,CLEANING,0,3273785.0
334,11,DAIRY,1,863688.0
335,11,DELI,1,724570.7614000002
336,11,EGGS,1,265252.0
337,11,FROZEN FOODS,0,172191.818
338,11,GROCERY I,0,11044948.458
339,11,GROCERY II,0,29398.0
340,11,HARDWARE,0,1231.0
341,11,HOME AND KITCHEN I,0,39602.0
342,11,HOME AND KITCHEN II,0,23407.0
343,11,HOME APPLIANCES,0,682.0
344,11,HOME CARE,0,554829.0
345,11,LADIESWEAR,0,13211.0
346,11,LAWN AND GARDEN,0,2757.0
347,11,LINGERIE,0,18517.0
348,11,"LIQUOR,WINE,BEER",0,74470.0
349,11,MAGAZINES,0,2474.0
350,11,MEATS,1,1045087.2203999916
351,11,PERSONAL CARE,0,660286.0
352,11,PET SUPPLIES,0,1701.0
353,11,PLAYERS AND ELECTRONICS,0,13072.0
354,11,POULTRY,1,860570.3485999968
355,11,PREPARED FOODS,1,92434.49799999996
356,11,PRODUCE,1,1329849.3773999943
357,11,SCHOOL AND OFFICE SUPPLIES,0,6673.0
358,11,SEAFOOD,1,14006.0
359,12,AUTOMOTIVE,0,8004.0
360,12,BABY CARE,0,179.0
361,12,BEAUTY,0,1628.0
362,12,BEVERAGES,0,2183222.0
363,12,BREAD/BAKERY,1,314102.0
364,12,CELEBRATION,0,10344.0
365,12,CLEANING,0,1299707.0
366,12,DAIRY,1,564808.0
367,12,DELI,1,331018.0
368,12,EGGS,1,126217.0
369,12,FROZEN FOODS,0,80196.14599999998
370,12,GROCERY I,0,4208523.908000001
371,12,GROCERY II,0,10685.0
372,12,HARDWARE,0,1648.0
373,12,HOME AND KITCHEN I,0,17384.0
374,12,HOME AND KITCHEN II,0,14083.0
375,12,HOME APPLIANCES,0,373.0
376,12,HOME CARE,0,189700.0
377,12,LADIESWEAR,0,2184.0
378,12,LAWN AND GARDEN,0,16.0
379,12,LINGERIE,0,10895.0
380,12,"LIQUOR,WINE,BEER",0,64543.0
381,12,MAGAZINES,0,1259.0
382,12,MEATS,1,246755.73039999983
383,12,PERSONAL CARE,0,262193.0
384,12,PET SUPPLIES,0,872.0
385,12,PLAYERS AND ELECTRONICS,0,4956.0
386,12,POULTRY,1,300155.0366000004
387,12,PREPARED FOODS,1,56027.0
388,12,PRODUCE,1,342045.13630000013
389,12,SCHOOL AND OFFICE SUPPLIES,0,918.0
390,12,SEAFOOD,1,4577.0
391,13,AUTOMOTIVE,0,9303.0
392,13,BEAUTY,0,2158.0
393,13,BEVERAGES,0,2173295.0
394,13,BREAD/BAKERY,1,277227.0
395,13,CELEBRATION,0,6915.0
396,13,CLEANING,0,1313006.0
397,13,DAIRY,1,454440.0
398,13,DELI,1,267026.0
399,13,EGGS,1,87964.0
400,13,FROZEN FOODS,0,56026.87699999998
401,13,GROCERY I,0,4570080.779
402,13,GROCERY II,0,12289.0
403,13,HARDWARE,0,878.0
404,13,HOME AND KITCHEN I,0,17979.0
405,13,HOME AND KITCHEN II,0,13601.0
406,13,HOME APPLIANCES,0,260.0
407,13,HOME CARE,0,180116.0
408,13,LADIESWEAR,0,4575.0
409,13,LAWN AND GARDEN,0,21.0
410,13,LINGERIE,0,5159.0
411,13,"LIQUOR,WINE,BEER",0,54362.0
412,13,MAGAZINES,0,775.0
413,13,MEATS,1,258031.6508000006
414,13,PERSONAL CARE,0,303371.0
415,13,PET SUPPLIES,0,406.0
416,13,PLAYERS AND ELECTRONICS,0,3979.0
417,13,POULTRY,1,199668.31560000134
418,13,PREPARED FOODS,1,46452.0
419,13,PRODUCE,1,199522.19570000013
420,13,SCHOOL AND OFFICE SUPPLIES,0,709.0
421,13,SEAFOOD,1,3404.0
422,14,AUTOMOTIVE,0,6093.0
423,14,BABY CARE,0,11.0
424,14,BEAUTY,0,2137.0
425,14,BEVERAGES,0,1622259.0
426,14,BREAD/BAKERY,1,322891.0
427,14,CELEBRATION,0,7872.0
428,14,CLEANING,0,1838506.0
429,14,DAIRY,1,592373.0
430,14,DELI,1,371156.0
431,14,EGGS,1,63339.0
432,14,FROZEN FOODS,0,103714.74399999998
433,14,GROCERY I,0,4463305.511000002
434,14,GROCERY II,0,10238.0
435,14,HARDWARE,0,571.0
436,14,HOME AND KITCHEN I,0,20557.0
437,14,HOME AND KITCHEN II,0,20866.0
438,14,HOME APPLIANCES,0,326.0
439,14,HOME CARE,0,258922.0
440,14,LADIESWEAR,0,1619.0
441,14,LINGERIE,0,7999.0
442,14,"LIQUOR,WINE,BEER",0,42479.0
443,14,MAGAZINES,0,1344.0
444,14,MEATS,1,506670.23629999824
445,14,PERSONAL CARE,0,462566.0
446,14,PET SUPPLIES,0,743.0
447,14,PLAYERS AND ELECTRONICS,0,5030.0
448,14,POULTRY,1,159662.82619999896
449,14,PREPARED FOODS,1,102168.0
450,14,PRODUCE,1,384692.4308999994
451,14,SCHOOL AND OFFICE SUPPLIES,0,559.0
452,14,SEAFOOD,1,7249.0
453,15,AUTOMOTIVE,0,4519.0
454,15,BABY CARE,0,1580.0
455,15,BEAUTY,0,3249.0
456,15,BEVERAGES,0,2082525.0
457,15,BREAD/BAKERY,1,257381.0
458,15,CELEBRATION,0,5084.0
459,15,CLEANING,0,1469633.0
460,15,DAIRY,1,509272.0
461,15,DELI,1,456440.0
462,15,EGGS,1,132384.0
463,15,FROZEN FOODS,0,107881.88399999995
464,15,GROCERY I,0,4578222.108
465,15,GROCERY II,0,16284.0
466,15,HARDWARE,0,1539.0
467,15,HOME AND KITCHEN I,0,49711.0
468,15,HOME AND KITCHEN II,0,17578.0
469,15,HOME APPLIANCES,0,195.0
470,15,HOME CARE,0,247415.0
471,15,LADIESWEAR,0,9485.0
472,15,LAWN AND GARDEN,0,15.0
473,15,LINGERIE,0,7942.0
474,15,"LIQUOR,WINE,BEER",0,41518.0
475,15,MAGAZINES,0,1262.0
476,15,MEATS,1,211746.45750000063
477,15,PERSONAL CARE,0,305537.0
478,15,PET SUPPLIES,0,672.0
479,15,PLAYERS AND ELECTRONICS,0,4493.0
480,15,POULTRY,1,209909.8639999995
481,15,PREPARED FOODS,1,51976.0
482,15,PRODUCE,1,656266.7094000028
483,15,SCHOOL AND OFFICE SUPPLIES,0,726.0
484,15,SEAFOOD,1,8827.0
485,16,AUTOMOTIVE,0,9688.0
486,16,BABY CARE,0,158.0
487,16,BEAUTY,0,1471.0
488,16,BEVERAGES,0,1825868.0
489,16,BREAD/BAKERY,1,340074.0
490,16,CELEBRATION,0,6088.0
491,16,CLEANING,0,1687002.0
492,16,DAIRY,1,412095.0
493,16,DELI,1,360315.0
494,16,EGGS,1,299500.0
495,16,FROZEN FOODS,0,70029.40799999998
496,16,GROCERY I,0,4307272.248
497,16,GROCERY II,0,9951.0
498,16,HARDWARE,0,997.0
499,16,HOME AND KITCHEN I,0,21159.0
500,16,HOME AND KITCHEN II,0,13078.0
501,16,HOME APPLIANCES,0,210.0
502,16,HOME CARE,0,226089.0
503,16,LAWN AND GARDEN,0,27.0
504,16,LINGERIE,0,6613.0
505,16,"LIQUOR,WINE,BEER",0,60468.0
506,16,MAGAZINES,0,978.0
507,16,MEATS,1,128605.77150000013
508,16,PERSONAL CARE,0,331879.0
509,16,PET SUPPLIES,0,448.0
510,16,PLAYERS AND ELECTRONICS,0,3291.0
511,16,POULTRY,1,158675.62879999907
512,16,PREPARED FOODS,1,70381.0
513,16,PRODUCE,1,626982.4983000024
514,16,SCHOOL AND OFFICE SUPPLIES,0,2347.0
515,16,SEAFOOD,1,4672.0
516,17,AUTOMOTIVE,0,10287.0
517,17,BABY CARE,0,257.0
518,17,BEAUTY,0,3087.0
519,17,BEVERAGES,0,4045762.0
520,17,BREAD/BAKERY,1,424923.0
521,17,CELEBRATION,0,7853.0
522,17,CLEANING,0,1796260.0
523,17,DAIRY,1,918600.0
524,17,DELI,1,714225.0
525,17,EGGS,1,304238.0
526,17,FROZEN FOODS,0,162073.51600000006
527,17,GROCERY I,0,6453635.216999995
528,17,GROCERY II,0,13821.0
529,17,HARDWARE,0,1242.0
530,17,HOME AND KITCHEN I,0,28512.0
531,17,HOME AND KITCHEN II,0,26451.0
532,17,HOME APPLIANCES,0,293.0
533,17,HOME CARE,0,319371.0
534,17,LADIESWEAR,0,3210.0
535,17,LAWN AND GARDEN,0,207.0
536,17,LINGERIE,0,8955.0
537,17,"LIQUOR,WINE,BEER",0,65756.0
538,17,MAGAZINES,0,2125.0
539,17,MEATS,1,425823.24109999894
540,17,PERSONAL CARE,0,384514.0
541,17,PET SUPPLIES,0,1703.0
542,17,PLAYERS AND ELECTRONICS,0,8648.0
543,17,POULTRY,1,506876.9854000009
544,17,PREPARED FOODS,1,109956.0
545,17,PRODUCE,1,1262602.82889999
546,17,SCHOOL AND OFFICE SUPPLIES,0,980.0
547,17,SEAFOOD,1,18720.462
548,18,AUTOMOTIVE,0,6410.0
549,18,BABY CARE,0,167.0
550,18,BEAUTY,0,3367.0
551,18,BEVERAGES,0,2757528.0
552,18,BREAD/BAKERY,1,1109745.685
553,18,CELEBRATION,0,7855.0
554,18,CLEANING,0,1010821.0
555,18,DAIRY,1,797023.0
556,18,DELI,1,345318.5136
557,18,EGGS,1,271943.0
558,18,FROZEN FOODS,0,95535.48300000002
559,18,GROCERY I,0,4138689.3370000036
560,18,GROCERY II,0,28016.0
561,18,HARDWARE,0,1563.0
562,18,HOME AND KITCHEN I,0,24185.0
563,18,HOME AND KITCHEN II,0,14147.0
564,18,HOME APPLIANCES,0,289.0
565,18,HOME CARE,0,183364.0
566,18,LADIESWEAR,0,10572.0
567,18,LAWN AND GARDEN,0,2372.0
568,18,LINGERIE,0,7359.0
569,18,"LIQUOR,WINE,BEER",0,95993.0
570,18,MAGAZINES,0,1947.0
571,18,MEATS,1,166150.15879999974
572,18,PERSONAL CARE,0,251406.0
573,18,PET SUPPLIES,0,3099.0
574,18,PLAYERS AND ELECTRONICS,0,7239.0
575,18,POULTRY,1,327554.37760000053
576,18,PREPARED FOODS,1,84074.67099999997
577,18,PRODUCE,1,1474337.2241000035
578,18,SCHOOL AND OFFICE SUPPLIES,0,3242.0
579,18,SEAFOOD,1,15789.240700000002
580,19,AUTOMOTIVE,0,11026.0
581,19,BABY CARE,0,200.0
582,19,BEAUTY,0,2704.0
583,19,BEVERAGES,0,3296869.0
584,19,BREAD/BAKERY,1,303131.0
585,19,CELEBRATION,0,8861.0
586,19,CLEANING,0,1561422.0
587,19,DAIRY,1,487473.0
588,19,DELI,1,461214.0
589,19,EGGS,1,109232.0
590,19,FROZEN FOODS,0,102744.67099999994
591,19,GROCERY I,0,5085657.647000001
592,19,GROCERY II,0,16623.0
593,19,HARDWARE,0,2159.0
594,19,HOME AND KITCHEN I,0,23887.0
